Random,Ordered,Reverse,Shuffle
40.2739025,0.0041193,40.9817481,53.9989195
44.3070252,0.0041477,40.9914188,53.0435554
43.1032406,0.0040726,40.9464813,54.412329
43.0343916,0.0040943,40.9249371,55.5212166
42.2978863,0.0040866,40.9929982,55.2815158
42.3376951,0.0041463,41.142257,55.253172
42.3204235,0.0040816,40.9567155,54.1586301
40.7737585,0.0040913,41.0185056,54.9629367
40.5496504,0.0040547,40.932164,54.7949134
40.5882989,0.0040766,40.9546651,54.7103971
40.6595496,0.0040668,41.0978204,55.169736
40.6045063,0.0039789,41.050494,54.6741742
40.5816459,0.0039865,41.0677731,54.8763006
41.6737081,0.0040514,41.0101463,56.2744038
42.0316247,0.0040012,41.0707651,54.0152272
41.8627455,0.004062,40.8835834,52.9053327
43.3313434,0.0040208,42.818074,53.7087913
43.1270067,0.0041335,43.1903638,56.7575121
42.3209528,0.0040082,41.2887792,57.2982716
41.0787308,0.0041834,41.1306544,55.8900072
40.2000975,0.0039871,41.1224219,56.6326257
40.1578467,0.0041794,41.2122547,48.328954
40.2255495,0.0040135,41.1504543,39.8266343
40.0901927,0.0041216,41.095301,40.1052263
40.0732943,0.0040688,41.0922496,39.9785161
40.1016586,0.0041468,41.7172945,39.8180699
40.1567352,0.0040357,42.7945263,39.8621478
40.1024515,0.0040316,41.41527,39.9161434
40.0984755,0.0041497,42.638938,39.8161864
40.1568472,0.0040574,42.4101581,39.9592608
40.0708016,0.004053,41.9510513,39.7777424
40.134446,0.0040667,41.7924735,39.8490674
40.0586676,0.0043315,41.84864,39.8429919
40.1163134,0.0039842,41.8251767,39.9396689
40.1040597,0.0041021,41.9569789,39.794033
40.0912669,0.0040758,41.8155916,39.8776222
40.0891034,0.0041083,41.9006962,39.8913162
40.1693285,0.0039872,41.8908882,39.9029826
40.1156802,0.0040606,42.1476631,39.932776
40.1288995,0.0041038,42.9604931,39.8972019
40.0998921,0.0045099,43.4413698,39.8783966
40.0920978,0.0041448,42.9376888,39.8815479
40.1298065,0.0041492,42.041104,39.8271493
40.1101183,0.0041079,41.42019,39.889873
40.1023979,0.0041656,42.3971367,39.8805213
40.1123799,0.0039936,42.8130839,39.7795435
40.1246631,0.0041846,42.2537439,39.9657476
40.7006719,0.0040132,41.9596313,39.8532438
40.0781378,0.0040632,41.6005253,39.8183412
40.1030278,0.0043081,41.401546,39.8194991
40.0874526,0.0040486,41.2133198,39.882435
40.077735,0.0041361,41.1462143,39.9074673
40.3225292,0.0040337,41.1258538,39.8241158
40.2031976,0.004265,41.1573326,39.9095004
40.0766123,0.0040454,41.304932,39.8775694
40.1010793,0.0041381,41.3399929,39.829178
40.1067466,0.004043,41.2359563,39.8265717
40.108132,0.0040799,43.3282933,39.8022588
40.1648581,0.0040301,44.0830187,39.7928132
40.1157019,0.0042011,42.9042142,39.8741391
40.0413796,0.0040147,52.4861592,39.8082542
40.0868634,0.00409,51.6122337,39.8167683
40.0818496,0.0040392,54.3442164,39.7994109
40.0903747,0.0040852,53.6426428,39.8732667
40.1518729,0.0040141,52.8006176,39.8777962
40.1118192,0.0041229,53.6971348,39.825703
40.1123924,0.0040782,54.2427784,39.8945012
40.0767864,0.0041585,53.9927393,39.9228637
40.1191139,0.0040772,53.6358025,39.8682495
40.1038485,0.0040749,54.4944273,39.8115755
40.1115827,0.0040711,52.8058133,39.8841319
40.0939724,0.0041644,53.1128955,39.8371134
40.0978023,0.0040937,55.2207183,39.7807515
40.1010635,0.0040902,53.897007,39.7821587
40.1006434,0.0040626,54.4096868,39.8746061
40.072851,0.004081,55.7988245,39.8834195
40.0976443,0.0039857,53.5250201,39.8177393
40.0918742,0.0040573,52.263251,39.846551
40.1419718,0.0040691,56.4663464,39.8277241
40.1129746,0.0045553,54.7240435,39.9078004
39.9877089,0.0040117,53.285613,39.8328883
40.0325162,0.0041007,54.9712103,39.8154465
40.0750587,0.0043344,53.3584049,39.9197198
40.0142698,0.0041443,55.3811867,40.0604219
40.09479,0.0040269,55.5372039,40.1959778
40.1133848,0.0040585,55.9505784,40.2784306
40.1129321,0.004055,55.9352581,39.9489033
40.1186824,0.0040813,54.7456316,39.9093584
40.0723314,0.004093,56.3994756,39.8998663
40.0928347,0.0040621,55.9590742,39.8964026
40.1166756,0.0040532,53.5570896,39.8805966
40.1245551,0.0040055,54.6086193,39.8931231
40.0888487,0.0041644,56.6612176,39.860061
40.0496093,0.0040377,55.2177395,40.0555812
40.0911701,0.0040866,50.0602851,39.9320504
40.1358436,0.0040068,52.6010541,39.8210515
40.1178698,0.0041125,55.8759434,39.8956548
40.0615113,0.0045861,55.5457205,39.9065977
40.1264732,0.0040922,57.3540983,40.4460025
40.1552714,0.0041012,54.3966301,39.9123868
