Random,Ordered,Reverse,Shuffle
300.0013558,0.3961616,300.0012736,300.0015556
300.0008927,0.3954793,300.0013523,300.0008582
300.0009806,0.3953713,300.0012247,300.0011063
300.000983,0.394288,300.0013414,300.0014145
300.0009298,0.3970802,300.0011975,300.0008795
300.0010366,0.394332,300.0011691,300.0013188
300.0009924,0.3958373,300.0012859,300.0013036
300.0009693,0.3964682,300.0012208,300.0009517
300.0009821,0.3940122,300.0012132,300.0013147
300.0013286,0.396776,300.0011976,300.0045343
300.0013204,0.3941727,300.0018201,300.0009844
300.0009052,0.3945217,300.0013482,300.0006738
300.0013415,0.3963065,300.0012051,300.0007127
300.0009824,0.3956698,300.0011952,300.0011554
300.0011858,0.3977629,300.0012341,300.0007369
300.0011934,0.3941086,300.0016448,300.0013403
300.0011638,0.3945688,300.0011042,300.0011355
300.0013393,0.3967818,300.0011305,300.0183464
300.0013204,0.3954536,300.0016449,300.0008189
300.0013681,0.396974,300.0013973,300.0007279
300.0012715,0.3956414,300.0011532,300.001697
300.0014315,0.3947635,300.0011314,300.0010798
300.0015658,0.3960884,300.0010963,300.000888
300.0011697,0.3947813,300.0011433,300.0013579
,0.3967491,,
,0.3958535,,
,0.3963666,,
,0.3959009,,
,0.3940136,,
,0.3977712,,
,0.3959489,,
,0.3941392,,
,0.3948672,,
,0.3948275,,
,0.3964851,,
,0.3959501,,
,0.3956326,,
,0.39673,,
,0.3955803,,
,0.3975241,,
,0.3955838,,
,0.3954755,,
,0.3968988,,
,0.3957496,,
,0.3976371,,
,0.3961241,,
,0.3945338,,
,0.3965469,,
,0.3956118,,
,0.3976349,,
,0.3957517,,
,0.3954167,,
,0.3955818,,
,0.3955565,,
,0.3974595,,
,0.3955025,,
,0.3955677,,
,0.3972423,,
,0.3954811,,
,0.3964604,,
,0.3966607,,
,0.3956724,,
,0.3954387,,
,0.3960162,,
,0.3967737,,
,0.3954777,,
,0.3955826,,
,0.3960758,,
,0.3964032,,
,0.395807,,
,0.3944776,,
,0.3955019,,
,0.394761,,
,0.3955651,,
,0.3970735,,
,0.3965965,,
,0.3955952,,
,0.3962619,,
,0.3962667,,
,0.3956384,,
,0.395635,,
,0.3955238,,
,0.3945832,,
,0.3966924,,
,0.3945188,,
,0.3964195,,
,0.3957529,,
,0.3954111,,
,0.3952828,,
,0.3943026,,
,0.3967836,,
,0.3942245,,
,0.3943064,,
,0.3958521,,
,0.3953046,,
,0.398087,,
,0.3956037,,
,0.3957187,,
,0.3965568,,
,0.3957695,,
