Random,Ordered,Reverse,Shuffle
0.0039128,0.002842,0.0029474,0.0029608
0.0038368,0.002763,0.0030809,0.002998
0.0038052,0.0028476,0.0027215,0.0029763
0.0042455,0.0029333,0.002969,0.0029635
0.0035103,0.0030126,0.0028929,0.0030539
0.0033101,0.0029386,0.0028525,0.0029474
0.0035032,0.0032946,0.0028522,0.0028742
0.0035251,0.0027937,0.0030325,0.0031159
0.0033713,0.0028449,0.0028657,0.0029804
0.0036966,0.0029318,0.0029971,0.0029427
0.0033332,0.0030012,0.0027299,0.0031282
0.0034541,0.0028315,0.0028642,0.0030498
0.0036477,0.0027645,0.0028189,0.0030076
0.0034365,0.0028715,0.0030331,0.0029038
0.0033614,0.0027651,0.0029906,0.0034029
0.003541,0.0030971,0.0028306,0.0032706
0.0033976,0.0029558,0.0027271,0.0037879
0.0035743,0.0028637,0.0027756,0.0029907
0.0036521,0.0027636,0.0028376,0.0029837
0.003809,0.0028711,0.0030305,0.0030272
0.0036744,0.0029924,0.0029585,0.0031586
0.0036658,0.0029511,0.0028585,0.0030354
0.0035769,0.0029277,0.0027923,0.0040091
0.0037555,0.0027739,0.002833,0.0033054
0.0035049,0.0028435,0.0028177,0.0037431
0.003677,0.0029836,0.0029798,0.0031279
0.0036266,0.0029341,0.0029514,0.0039898
0.0037463,0.0027224,0.0027754,0.0030775
0.0038356,0.0030181,0.0029295,0.0032794
0.0036159,0.0030044,0.0027792,0.0029131
0.0036402,0.0030331,0.0028268,0.0036632
0.0035149,0.0032694,0.0028845,0.0030293
0.0034699,0.0028251,0.0030371,0.0029061
0.0033271,0.0028025,0.0027098,0.0029385
0.0034673,0.0033236,0.0027593,0.0032923
0.0034813,0.0030515,0.002859,0.0031062
0.0035223,0.0029084,0.0029377,0.0030194
0.0038069,0.0030077,0.0028464,0.0029725
0.0035875,0.0029061,0.0028976,0.0029796
0.0034798,0.0028821,0.0028711,0.0029901
0.0040228,0.0032186,0.0027712,0.0030302
0.0033868,0.0028336,0.0027742,0.0031866
0.0034523,0.0029424,0.0029766,0.0031987
0.0034301,0.0029684,0.0029002,0.0031287
0.0035392,0.0029696,0.0028341,0.0029863
0.0040103,0.0029898,0.0028154,0.0029889
0.0036712,0.0037036,0.002916,0.0028927
0.0033809,0.0028999,0.0028508,0.0032367
0.0038311,0.0029298,0.0027543,0.0030857
0.0035635,0.0032045,0.0028481,0.0029368
0.0033344,0.0028712,0.0029395,0.0028145
0.0035045,0.0028964,0.0028859,0.0030001
0.003431,0.0030377,0.0027206,0.0028961
0.003529,0.0029681,0.0028964,0.0031237
0.0038174,0.0028543,0.0027595,0.0029913
0.0033824,0.0036586,0.0027718,0.0029122
0.003371,0.0028184,0.0029637,0.0028224
0.0034321,0.0028142,0.002782,0.0030383
0.0034684,0.0028704,0.0029353,0.0030184
0.0035027,0.0032894,0.0028371,0.0030135
0.0036012,0.0029178,0.0028511,0.002873
0.0034319,0.0029336,0.002768,0.0030444
0.0033432,0.0028769,0.0027358,0.002974
0.0035831,0.0029742,0.002998,0.0028847
0.0033377,0.0030172,0.0029359,0.0032192
0.0034696,0.002926,0.0028637,0.0033654
0.0034142,0.0029991,0.0028567,0.0028763
0.0034494,0.0032189,0.0031595,0.0030255
0.0035334,0.0029085,0.002967,0.0029631
0.0035225,0.0031085,0.0035834,0.0029772
0.0033043,0.0029418,0.0032554,0.0029459
0.0034789,0.0029909,0.003175,0.0029792
0.0033356,0.0029913,0.0027256,0.0030459
0.0036121,0.0028683,0.0029596,0.0029647
0.0034351,0.0031001,0.002763,0.0030035
0.0035164,0.0030401,0.0028959,0.0029467
0.0035551,0.0030582,0.0029141,0.0029558
0.0034587,0.0028699,0.002866,0.0029679
0.0034236,0.0037399,0.0027622,0.0029477
0.0035011,0.0046741,0.0028581,0.0029567
0.0034403,0.0031396,0.0028098,0.0031577
0.0033382,0.0029976,0.0029573,0.0029833
0.0035205,0.0030612,0.0027993,0.0029158
0.003464,0.0032984,0.0032718,0.0029543
0.0033446,0.0028792,0.0027065,0.0031226
0.0034625,0.0027174,0.0027937,0.0030884
0.0034558,0.0030082,0.0028449,0.0030161
0.0034558,0.0029166,0.0029369,0.0029424
0.0034202,0.0031729,0.0029204,0.003064
0.0033561,0.0031238,0.0027425,0.0029076
0.0032727,0.0029485,0.0031808,0.0029813
0.0035517,0.0027666,0.003091,0.0031059
0.0034971,0.0031899,0.002988,0.0029654
0.0033792,0.0029187,0.0028985,0.0029061
0.0034155,0.0031217,0.0028005,0.0029687
0.003287,0.0030652,0.0027569,0.0030418
0.0033491,0.0028555,0.0028982,0.0030354
0.0035591,0.0028947,0.0029216,0.0031428
0.0035667,0.0030389,0.0027674,0.0029921
0.0032618,0.0028266,0.002909,0.0029058
