Random,Ordered,Reverse,Shuffle
0.0024216,0.000847,0.0009281,0.0010907
0.0026545,0.000844,0.0011106,0.001088
0.002531,0.0008438,0.0009869,0.0010869
0.0021258,0.0008432,0.0009713,0.0010872
0.0021846,0.0008431,0.00095,0.0013721
0.0023461,0.0008444,0.0009275,0.001285
0.0021866,0.0008438,0.0009757,0.0010869
0.0021053,0.0008434,0.0009944,0.0010875
0.00217,0.0008441,0.0009275,0.0010872
0.0021071,0.0008441,0.0009518,0.0010872
0.0021197,0.0008437,0.0009274,0.0010866
0.0021071,0.0008994,0.0009695,0.0010883
0.0021088,0.000845,0.0009277,0.001222
0.0028028,0.0008435,0.0009274,0.0010887
0.0022633,0.0008437,0.0009272,0.0010871
0.0023531,0.0008432,0.0009275,0.0010871
0.0023681,0.0008435,0.0009275,0.0010872
0.002275,0.0008429,0.0009275,0.0010875
0.0021062,0.0008434,0.0009272,0.0010875
0.0022604,0.0008435,0.0009277,0.0010881
0.0023309,0.0008435,0.0009274,0.0010881
0.0021521,0.0008435,0.0009271,0.0012563
0.0022829,0.0008949,0.0009986,0.0011366
0.0026855,0.0008432,0.0009289,0.0010884
0.0022379,0.0008435,0.0009284,0.0010866
0.0022382,0.0008432,0.000928,0.0010875
0.0022721,0.0008434,0.0009283,0.0010875
0.0022402,0.0008432,0.0009283,0.0010871
0.0022358,0.0008435,0.0009283,0.0010869
0.0023959,0.0008546,0.0009283,0.0010875
0.0025179,0.0008534,0.0009283,0.0011406
0.0022221,0.0008432,0.0009283,0.0010884
0.0022236,0.0008432,0.0009724,0.0010875
0.0022218,0.0008431,0.0009286,0.0010868
0.0022779,0.0009061,0.0009283,0.0010866
0.002127,0.0008432,0.0009283,0.0010869
0.0021071,0.0008438,0.0009283,0.0010871
0.00211,0.0008434,0.0009283,0.0010878
0.0021047,0.0008432,0.0009283,0.0010881
0.0021781,0.0008435,0.0009283,0.0011325
0.0021068,0.0008429,0.0009284,0.0010869
0.0021047,0.0008432,0.0009286,0.0010872
0.0021032,0.0008428,0.0009283,0.0010875
0.0021047,0.0008432,0.0012759,0.0010872
0.0021477,0.0008429,0.0014128,0.0010868
0.0021047,0.0009125,0.0009865,0.0010872
0.0021439,0.0010679,0.000928,0.0010884
0.0021035,0.0009041,0.0009278,0.0010875
0.0021621,0.000887,0.0009526,0.0011299
0.0021094,0.000885,0.0009281,0.0010871
0.0021065,0.0013364,0.0009277,0.0010878
0.0021147,0.0008865,0.0009277,0.0010883
0.0021059,0.0008867,0.0009277,0.0010869
0.0022072,0.0008868,0.0010308,0.0010881
0.0021062,0.0008867,0.000928,0.0010878
0.002107,0.000897,0.0009278,0.0010878
0.0021062,0.0008979,0.0009277,0.0010875
0.0021032,0.000842,0.000928,0.0011266
0.0021729,0.0008421,0.0009277,0.0010863
0.0021053,0.0008421,0.0009278,0.0010869
0.0021047,0.0008417,0.0009277,0.0010874
0.0021085,0.0008417,0.0009277,0.0010886
0.0021615,0.0008417,0.000928,0.0010869
0.002107,0.0008417,0.0010141,0.0010872
0.0021164,0.0008423,0.0009488,0.0010872
0.0021264,0.0008423,0.0009277,0.0010883
0.0021086,0.0008424,0.0009277,0.0011351
0.0023186,0.0009441,0.0009274,0.0010875
0.0022244,0.0009055,0.0009275,0.0010869
0.0021077,0.0009708,0.0009275,0.001088
0.0021088,0.0011369,0.0009277,0.0010869
0.0021065,0.0010138,0.0009277,0.0010887
0.0021474,0.0008589,0.0009274,0.0010878
0.002125,0.0008418,0.0009283,0.0010872
0.0021062,0.0008421,0.0009818,0.0010872
0.0021068,0.0008417,0.0009278,0.0012566
0.0022019,0.0008666,0.0009278,0.0010874
0.002306,0.000842,0.0009277,0.0010869
0.0021167,0.0009137,0.0009277,0.0010869
0.0021044,0.0008418,0.0009278,0.0010877
0.0021018,0.0008421,0.0009281,0.0010872
0.0021782,0.000842,0.0009277,0.0010872
0.0021053,0.0008423,0.0009277,0.0010875
0.0021071,0.0008423,0.0009274,0.0010874
0.0021065,0.000842,0.0011027,0.001124
0.0021082,0.0008417,0.0009736,0.0010869
0.002167,0.0008417,0.0010161,0.0010877
0.0021062,0.0008417,0.0013844,0.0010869
0.002105,0.0008421,0.0009274,0.0010881
0.0021331,0.000842,0.0009272,0.0010872
0.0022048,0.0008943,0.0009269,0.0010875
0.002129,0.000842,0.0009272,0.0010883
0.0021016,0.0008418,0.0009272,0.0010874
0.0021001,0.000842,0.0009272,0.0011495
0.002149,0.000842,0.0009749,0.0010918
0.0023212,0.000842,0.0009272,0.0010892
0.0023116,0.000842,0.0009269,0.0011656
0.0021065,0.000842,0.0009272,0.00118
0.0021208,0.000842,0.0009271,0.0010886
0.0023096,0.0008423,0.0009277,0.0010884
