Random,Ordered,Reverse,Shuffle
0.1139354,0.00049,0.213732,0.0354895
0.1085776,0.0004166,0.2147283,0.0371683
0.1078789,0.0004271,0.2141189,0.0352564
0.1091715,0.0004266,0.215797,0.0352576
0.1075814,0.0004155,0.2158413,0.0353305
0.1093385,0.0004158,0.216283,0.0350873
0.1085778,0.0004158,0.2141168,0.0354226
0.1096177,0.0004157,0.2136835,0.0356008
0.1092274,0.0004157,0.2136253,0.0350191
0.1130146,0.0004158,0.2136689,0.0354588
0.1103432,0.0004155,0.2154282,0.0354381
0.1092829,0.0004161,0.2142982,0.0354741
0.1081791,0.0004158,0.2137327,0.0351555
0.1076481,0.0004157,0.2162395,0.0349118
0.108192,0.0004155,0.2149696,0.0352043
0.1075601,0.000416,0.214948,0.0354217
0.1083564,0.0004371,0.2129349,0.034963
0.1084114,0.0004485,0.2122677,0.0352265
0.1111507,0.0004263,0.2146011,0.0351397
0.1095829,0.0004394,0.2135249,0.0350829
0.1087514,0.0004157,0.2144603,0.0360583
0.1079848,0.0004468,0.2141868,0.0351148
0.1090258,0.0004365,0.2173985,0.0351414
0.1089447,0.0004359,0.2142257,0.0350697
0.109168,0.0004365,0.2151335,0.03529
0.1096253,0.0004365,0.2150724,0.0350388
0.1107704,0.0004359,0.2149714,0.0351877
0.1094059,0.0004359,0.2150212,0.0350363
0.1078605,0.0004362,0.2146653,0.035453
0.1084922,0.0004362,0.214767,0.0355276
0.1088497,0.0004362,0.2154551,0.0351829
0.107761,0.0004365,0.2166286,0.03541
0.1081976,0.0004395,0.2160414,0.0371782
0.1075706,0.0004719,0.2148073,0.0353752
0.1081282,0.0004369,0.2140431,0.0350938
0.1080013,0.0004374,0.2146797,0.0350753
0.1102704,0.0004365,0.2140999,0.0356344
0.108135,0.0004362,0.2137842,0.0350928
0.1082362,0.0004362,0.2155838,0.0351773
0.1082019,0.000445,0.2145753,0.0353501
0.1081295,0.0004373,0.2145061,0.0351558
0.1086319,0.0004369,0.2154747,0.0351611
0.1089909,0.0004407,0.2117242,0.0352023
0.1086753,0.0004371,0.2139911,0.0355542
0.1102528,0.0004564,0.2150744,0.0353079
0.1092646,0.0004538,0.2622694,0.0351763
0.1093652,0.0004365,0.2355402,0.0351845
0.1087605,0.0004122,0.2321395,0.0354304
0.1073638,0.0004336,0.2162767,0.0350732
0.1090251,0.0004336,0.2210645,0.0349084
0.108414,0.0004333,0.2183465,0.0349639
0.1085893,0.0004122,0.2147359,0.0352522
0.1076866,0.0004123,0.2139419,0.0350419
0.1085155,0.0004119,0.2148702,0.0350188
0.1098935,0.0004123,0.2144375,0.0354129
0.1085902,0.0004131,0.2142406,0.0350851
0.108013,0.0004359,0.214778,0.0370241
0.1083771,0.0004585,0.2144478,0.0354793
0.1090041,0.0004333,0.2142485,0.0353781
0.1083663,0.0004132,0.2163912,0.0351326
0.1080846,0.0004123,0.2138225,0.0352142
0.1080431,0.0004122,0.2155153,0.0350789
0.1085176,0.0004125,0.2137871,0.0351704
0.1086159,0.0004122,0.2153965,0.0351406
0.1082148,0.0004262,0.2137763,0.035366
0.1091949,0.0004336,0.2139258,0.0351497
0.1089839,0.0004131,0.2143176,0.035214
0.1081077,0.0004333,0.2152295,0.0350934
0.1084713,0.0004544,0.2188864,0.035044
0.1081428,0.0004336,0.2335982,0.0351724
0.1087847,0.0004207,0.215786,0.0352207
0.1080916,0.0004122,0.2156969,0.0352816
0.109771,0.0004122,0.2161487,0.0351288
0.1081567,0.0004123,0.2159056,0.0352406
0.1085375,0.0004111,0.2175703,0.0351361
0.1084679,0.0004122,0.2158629,0.0351905
0.1084099,0.0004161,0.216501,0.0352418
0.1079824,0.0004134,0.2179442,0.0350968
0.1083915,0.0004337,0.2152965,0.0359744
0.1077701,0.0004244,0.2153842,0.0349423
0.1088916,0.0004123,0.2145996,0.0351985
0.1080925,0.0004122,0.21726,0.0349785
0.1083596,0.0004122,0.2142078,0.0350176
0.1084091,0.0004447,0.2131028,0.0353134
0.1083178,0.0004122,0.2151649,0.0360391
0.1084559,0.0004225,0.2148316,0.0351975
0.1078816,0.0004544,0.2151134,0.035604
0.1086218,0.0004125,0.2159442,0.0359481
0.1081495,0.0004336,0.2185744,0.0355294
0.1082531,0.0004535,0.2164761,0.0350884
0.1096419,0.0004251,0.2151727,0.0350931
0.1086926,0.0004122,0.2189996,0.0353486
0.1085086,0.0004125,0.2158287,0.0351707
0.107747,0.0004122,0.2140381,0.035288
0.1089896,0.0004123,0.2145076,0.0353002
0.1078398,0.0004131,0.2144238,0.035493
0.1079491,0.0004356,0.2161343,0.0355914
0.1079349,0.0004218,0.2160949,0.0349112
0.107462,0.0004128,0.2135812,0.0349534
0.1089369,0.0004131,0.2153794,0.0354199
