Random,Ordered,Reverse,Shuffle
0.0000129,0.0000049,0.0000237,0.0000088
0.0000123,0.000005,0.0000237,0.0000087
0.000012,0.0000053,0.0000237,0.0000091
0.000012,0.000005,0.0000237,0.0000091
0.000012,0.0000052,0.0000235,0.0000087
0.0000123,0.000005,0.0000236,0.0000088
0.000012,0.0000053,0.0000236,0.0000091
0.000012,0.000005,0.0000237,0.000009
0.0000123,0.000005,0.0000235,0.0000088
0.0000123,0.0000053,0.0000237,0.0000091
0.000012,0.0000052,0.0000237,0.0000088
0.000012,0.0000053,0.0000237,0.0000087
0.0000122,0.0000149,0.0000242,0.0000088
0.000012,0.0000053,0.0000237,0.0000088
0.0000123,0.0000049,0.0000237,0.0000088
0.0000123,0.000005,0.0000237,0.0000088
0.000012,0.000005,0.0000237,0.0000088
0.000012,0.000005,0.0000234,0.0000088
0.0000123,0.000005,0.0000237,0.0000087
0.0000123,0.0000049,0.0000237,0.0000088
0.000012,0.0000049,0.0000237,0.0000091
0.000012,0.000005,0.0000237,0.0000091
0.0000122,0.0000053,0.0000237,0.000009
0.0000123,0.000005,0.0000237,0.0000091
0.000012,0.0000052,0.0000237,0.0000088
0.000012,0.0000049,0.0000237,0.0000087
0.000012,0.000005,0.0000237,0.0000091
0.0000123,0.0000053,0.0000237,0.0000091
0.0000123,0.000005,0.0000234,0.0000087
0.0000123,0.0000049,0.0000234,0.0000088
0.0000123,0.000005,0.0000237,0.0000088
0.0000123,0.000005,0.0000237,0.0000088
0.000012,0.000005,0.0000237,0.0000087
0.0000123,0.0000053,0.0000237,0.0000091
0.000012,0.0000049,0.0000237,0.0000088
0.000012,0.000005,0.0000234,0.0000096
0.000012,0.000005,0.0000237,0.0000088
0.0000123,0.000005,0.0000237,0.0000091
0.000012,0.0000053,0.0000237,0.0000088
0.000012,0.0000049,0.0000237,0.000009
0.000012,0.0000052,0.0000246,0.0000088
0.0000123,0.000005,0.0000441,0.0000088
0.000012,0.000005,0.0000237,0.0000088
0.0000123,0.000005,0.0000237,0.0000088
0.0000122,0.0000052,0.0000237,0.0000088
0.000012,0.000005,0.0000237,0.0000088
0.000012,0.0000053,0.0000234,0.000009
0.000012,0.000005,0.0000237,0.0000091
0.0000123,0.000005,0.0000234,0.0000088
0.0000123,0.0000049,0.0000237,0.0000091
0.000012,0.000005,0.0000234,0.000009
0.000012,0.0000053,0.0000237,0.0000091
0.0000119,0.000005,0.0000234,0.0000091
0.000012,0.000005,0.0000237,0.000009
0.000012,0.0000049,0.0000237,0.0000088
0.000012,0.000005,0.0000237,0.0000088
0.0000123,0.000005,0.0000234,0.0000088
0.0000123,0.0000053,0.0000237,0.0000087
0.0000123,0.000005,0.0000237,0.0000091
0.0000123,0.0000052,0.0000237,0.0000088
0.000012,0.000005,0.0000237,0.0000087
0.0000122,0.000005,0.0000237,0.0000088
0.000012,0.000005,0.0000234,0.0000091
0.000012,0.0000053,0.0000237,0.0000088
0.000012,0.0000049,0.0000237,0.0000087
0.0000126,0.000005,0.0000237,0.0000091
0.000012,0.000005,0.0000237,0.0000088
0.000012,0.0000056,0.0000243,0.0000087
0.0000123,0.0000053,0.0000237,0.0000091
0.000012,0.0000053,0.0000254,0.0000088
0.000012,0.000005,0.0000339,0.0000087
0.000012,0.000005,0.0000237,0.0000091
0.000012,0.000005,0.0000237,0.0000091
0.000012,0.0000052,0.0000237,0.0000091
0.0000123,0.0000049,0.0000237,0.000009
0.0000119,0.000005,0.0000237,0.0000088
0.000012,0.000005,0.0000237,0.0000088
0.0000123,0.000005,0.0000234,0.000009
0.000012,0.000005,0.0000237,0.0000091
0.000012,0.0000049,0.0000237,0.0000088
0.0000123,0.0000049,0.0000237,0.0000088
0.0000123,0.000005,0.0000237,0.0000088
0.0000123,0.000005,0.0000237,0.0000091
0.000012,0.000005,0.0000237,0.0000094
0.0000123,0.000005,0.0000234,0.0000087
0.0000122,0.0000052,0.0000234,0.0000091
0.000012,0.0000053,0.0000234,0.0000091
0.0000123,0.0000049,0.0000234,0.0000091
0.000012,0.0000053,0.0000237,0.000009
0.000012,0.000005,0.0000237,0.0000088
0.0000123,0.000005,0.0000237,0.0000088
0.000012,0.000005,0.0000237,0.0000088
0.000012,0.0000049,0.0000234,0.0000088
0.000012,0.000005,0.0000246,0.0000088
0.0000123,0.000005,0.0000237,0.0000088
0.0000122,0.0000053,0.0000237,0.000009
0.000012,0.0000053,0.0000237,0.0000091
0.0000123,0.0000049,0.0000237,0.0000091
0.000012,0.0000053,0.0000234,0.0000091
0.0000123,0.000005,0.0000237,0.0000088
