Random,Ordered,Reverse,Shuffle
300.0006594,300.0013224,300.0010182,300.0008889
300.0034202,300.0015316,300.000976,300.0009257
300.3053228,300.001436,300.0012168,300.0015638
300.0011252,300.0009982,300.0015826,300.0013485
300.001617,300.001029,300.0010881,300.0013432
300.00101,300.0009929,300.0008803,300.0009918
300.0012361,300.0009969,300.0008391,300.0009833
300.0019444,300.0013348,300.0009093,300.0015403
300.0013458,300.0013385,300.0010912,300.001385
300.0011491,300.0015666,300.0010196,300.0011501
300.0012255,300.0013438,300.0010348,300.0009851
300.0017127,300.0013612,300.0006821,300.0013699
300.0009239,300.0010456,300.000665,300.0015011
300.0013385,300.0009799,300.0008314,300.0009907
300.0009932,300.0009672,300.0014485,300.0010453
300.0010041,300.0009494,300.0010674,300.0010167
300.0009924,300.0009373,300.0008745,300.0013782
300.001352,300.000963,300.0013663,300.0010875
300.0009935,300.000964,300.0009371,300.001393
300.0012961,300.0013412,300.000971,300.0010056
300.0014775,300.0017566,300.0013772,300.0009704
300.0013288,300.0014441,300.0013768,300.00107
300.0013011,300.0009494,300.0008867,300.0014146
300.0013511,300.0015802,300.0015489,300.0014793
