Random,Ordered,Reverse,Shuffle
111.9192546,0.0003318,151.7746447,12.1689726
110.7605682,0.000332,150.4823,12.0045658
111.8861788,0.0003312,148.1952499,12.0808997
111.9069036,0.0003311,149.6958111,11.8933305
111.3394438,0.0003302,144.6333787,12.2064503
111.4301534,0.00033,147.1078199,12.4699404
111.5997853,0.0003309,151.6134287,12.3597661
112.0191101,0.0003277,147.8459885,12.405299
109.5025736,0.0003311,147.2454782,12.169913
111.2797829,0.0003315,147.194811,12.0927892
112.0241983,0.0003295,147.7484111,12.0766376
112.7377027,0.0003311,158.1626933,12.0273965
113.6641844,0.0003324,150.463574,11.9744174
111.3594891,0.0003315,150.4732625,12.0295514
109.7395324,0.0003303,152.4991567,11.9960584
110.1230608,0.0003315,153.7648996,12.105754
110.2759116,0.0003318,152.5950804,11.9683153
113.7249491,0.0003274,147.2026969,11.976221
112.8580558,0.0003268,149.8170907,11.9842557
111.1446366,0.0003317,145.9737199,11.9886477
110.2298056,0.0003266,147.6059679,12.0010348
107.6589759,0.0003309,150.6157776,12.0162792
107.5899683,0.0003256,149.1102656,11.9054069
109.7375026,0.0003327,148.2616919,11.9945801
111.305198,0.0003297,151.7665098,11.9920784
112.2181405,0.0003259,150.0368239,11.9620553
113.5816656,0.0003324,154.060428,12.0119787
112.0353213,0.0003288,152.4429823,12.0579429
113.0942953,0.0003309,150.5193514,11.9731705
113.4465169,0.0003309,149.1494285,12.2310074
110.382429,0.0003265,150.9767257,12.199737
110.3771272,0.0003264,150.8485474,12.3566622
112.4139026,0.0003289,146.5012528,12.1793606
109.4616411,0.0003315,146.3891086,12.1341097
109.2308942,0.0003324,145.8218904,12.2458399
108.239901,0.0003265,148.0888099,12.2466742
109.3942676,0.0003259,150.3947288,12.2641355
112.9894178,0.0003332,151.6446871,12.4151341
111.0390693,0.0003309,151.1080596,12.2416567
109.5165046,0.0003301,148.9137726,12.0196903
109.3915482,0.0003265,150.2885273,12.1263697
109.7372871,0.0003318,151.2417158,12.1222744
100.4804033,0.00033,148.1435215,11.9477665
100.7901106,0.0003318,153.1555521,12.0144589
103.9473436,0.0003251,149.1089259,12.0229726
102.2265334,0.0003323,146.7062813,12.009246
102.3727539,0.0003312,143.1917697,12.0259133
100.8937616,0.0003274,143.7910324,12.0444507
99.9749645,0.0003265,144.962365,11.9835408
98.7571106,0.0003254,149.6399913,11.9209318
103.2612777,0.0003306,148.101331,11.9787169
101.5488005,0.0003318,149.955295,11.921509
100.3328984,0.0003268,151.5595479,12.0159864
100.4544221,0.0003341,152.0104959,11.9961717
101.7645042,0.000328,155.1817486,12.0660618
103.4734269,0.0003309,153.9413342,11.9903791
101.2075313,0.0003333,153.5607957,11.9885714
99.9948897,0.0003297,150.5264985,12.0815004
102.3696793,0.0003315,149.0153558,12.0298921
100.9879979,0.0003279,150.8893038,12.0192863
101.4787312,0.0003309,155.1882756,12.0162885
103.526722,0.0003312,154.6905036,12.0458112
103.5391239,0.0003259,152.3272683,11.9650921
102.5782339,0.0003312,151.9871766,11.9871462
102.2452026,0.000328,148.8723309,12.1002757
101.2816154,0.0003309,150.7882045,12.0256464
101.6258161,0.0003312,152.1519939,12.029032
101.160241,0.0003304,149.6859486,12.048547
100.7607319,0.0003314,153.5333224,12.0079754
102.5784543,0.0003262,150.9634603,12.0277766
102.5888846,0.0003323,147.4027929,12.0792408
102.7384371,0.0003309,145.2644686,12.0444329
102.1751634,0.0003265,148.879446,12.1080014
101.1492309,0.0003306,125.2586629,12.1709835
100.9827966,0.0003265,123.4415116,12.3737147
101.1902621,0.0003282,124.3096404,12.1076295
99.9579438,0.0003314,124.6644982,12.195002
100.5149154,0.0003312,127.3996319,12.1026
100.2707208,0.0003017,126.6463203,12.1862826
100.956886,0.0002361,126.5954382,12.1310342
100.2507471,0.0002358,124.2827529,12.2087238
99.3039209,0.0002355,122.9794476,12.2375079
97.8143008,0.0002376,122.6781943,12.1547086
98.0614067,0.0002355,123.5475917,12.1965717
99.646562,0.0002358,122.4319012,12.1318753
103.5913607,0.0002355,124.4603435,12.1036011
100.7905143,0.0002364,127.7368154,12.1233288
100.7170862,0.0002358,123.2179182,12.1480562
99.8977248,0.0002358,123.0618604,12.1255529
101.2821089,0.0002355,122.4640628,12.1088048
101.1063064,0.0002363,126.1848943,12.0505321
101.4258129,0.0002361,125.4492746,12.2007347
101.8174705,0.0002358,127.8622408,12.1730604
99.4788359,0.0002358,125.1425504,12.4111463
100.8043555,0.0002355,123.9704132,12.1638749
98.3806264,0.0002358,124.3247858,12.1852127
95.6510713,0.0002358,124.0721793,12.1284708
98.0210486,0.0002367,125.2098318,12.1243987
99.2205234,0.0002355,126.0208933,12.2402395
100.0499052,0.0002358,126.2460345,12.2248316
