Random
0.2055548000
0.2022435000
0.2014094000
0.2017858000
0.2014843000
0.2093489000
0.2025644000
0.2036845000
0.2015320000
0.2011323000
0.2042572000
0.2032127000
0.2029840000
0.2023258000
0.2011206000
0.2036174000
0.2023505000
0.2012086000
0.2013268000
0.2028290000
0.2029032000
0.2012341000
0.2015550000
0.2018710000
0.2018743000
0.2042675000
0.2023818000
0.2019778000
0.2017602000
0.2005904000
0.2033963000
0.2014758000
0.2012522000
0.2014287000
0.2024845000
0.2041621000
0.2018859000
0.2020835000
0.2015077000
0.2017729000
0.2012344000
0.2016343000
0.2013164000
0.2018070000
0.2008216000
0.2033038000
0.2022853000
0.2014002000
0.2027163000
0.2027319000
0.2012206000
0.2019380000
0.2017750000
0.2018076000
0.2017394000
0.2036232000
0.2008593000
0.2019737000
0.2021113000
0.2026028000
0.2026408000
0.2005074000
0.2011025000
0.2021722000
0.2027712000
0.2031831000
0.2004328000
0.2010453000
0.1991721000
0.2016116000
0.2028292000
0.2015419000
0.2022885000
0.2019731000
0.2023268000
0.2025385000
0.2022484000
0.2010217000
0.2028535000
0.2027622000
0.2003503000
0.2016118000
0.2024734000
0.2020335000
0.2122663000
0.2007964000
0.2017883000
0.2016285000
0.2011451000
0.2015220000
0.2022728000
0.2020802000
0.2014184000
0.2013167000
0.2039640000
0.2025756000
0.2018449000
0.2017198000
0.2015975000
0.2014866000
,Ordered
,0.2009669000
,0.2013365000
,0.2023260000
,0.2013380000
,0.2035796000
,0.2010920000
,0.2012213000
,0.2016150000
,0.2030887000
,0.2010239000
,0.2008353000
,0.2013547000
,0.2025718000
,0.2027298000
,0.2044922000
,0.2025659000
,0.2017356000
,0.2014298000
,0.2008089000
,0.2008465000
,0.2019986000
,0.2012406000
,0.2015217000
,0.2004817000
,0.2037973000
,0.2007151000
,0.2015262000
,0.2024959000
,0.2017576000
,0.2012045000
,0.2020762000
,0.2023376000
,0.2023749000
,0.2011668000
,0.2040439000
,0.2018889000
,0.2012098000
,0.2011101000
,0.2031881000
,0.2012921000
,0.2011874000
,0.2015825000
,0.2017420000
,0.2029270000
,0.2012034000
,0.2018021000
,0.2014369000
,0.2005603000
,0.2017947000
,0.2000933000
,0.2012049000
,0.2015045000
,0.2004793000
,0.2029196000
,0.2029161000
,0.2016700000
,0.2034532000
,0.2020443000
,0.2025951000
,0.2006773000
,0.2004632000
,0.2011794000
,0.2012093000
,0.2044471000
,0.2026505000
,0.2010551000
,0.2014598000
,0.2019041000
,0.2008100000
,0.2008060000
,0.2020130000
,0.2009784000
,0.2010223000
,0.2032999000
,0.2004565000
,0.2023655000
,0.2017046000
,0.2021934000
,0.2017868000
,0.2021703000
,0.2011847000
,0.2014211000
,0.2018257000
,0.2032247000
,0.2009766000
,0.2011142000
,0.2010504000
,0.2015340000
,0.2015087000
,0.2005334000
,0.2025485000
,0.2015373000
,0.2020676000
,0.2039667000
,0.2014939000
,0.2015360000
,0.2020786000
,0.2030349000
,0.2013382000
,0.2008973000
,,Reverse
,,0.2015591000
,,0.2009749000
,,0.2017912000
,,0.2024826000
,,0.2010339000
,,0.2024557000
,,0.2018670000
,,0.2024586000
,,0.1995822000
,,0.2019597000
,,0.2014170000
,,0.2005451000
,,0.2019825000
,,0.2027376000
,,0.2023851000
,,0.2024077000
,,0.2030509000
,,0.2021528000
,,0.2012238000
,,0.2020346000
,,0.2019141000
,,0.2023008000
,,0.2054281000
,,0.2015894000
,,0.2008453000
,,0.2021738000
,,0.2010378000
,,0.2028555000
,,0.2019789000
,,0.2016742000
,,0.2009434000
,,0.2014512000
,,0.2038231000
,,0.2018481000
,,0.2019884000
,,0.2016478000
,,0.2028820000
,,0.2016747000
,,0.2013523000
,,0.2012411000
,,0.2013991000
,,0.2020196000
,,0.2032882000
,,0.2021244000
,,0.2014901000
,,0.2016088000
,,0.2033503000
,,0.2016586000
,,0.2016350000
,,0.2010061000
,,0.2012774000
,,0.2012937000
,,0.2036458000
,,0.2010305000
,,0.2012830000
,,0.2018492000
,,0.2029289000
,,0.2012314000
,,0.2023445000
,,0.2015051000
,,0.2014342000
,,0.2014644000
,,0.2019798000
,,0.2008227000
,,0.2016303000
,,0.2023182000
,,0.2022449000
,,0.2018011000
,,0.2012370000
,,0.2003383000
,,0.2004977000
,,0.2011895000
,,0.2024130000
,,0.2024842000
,,0.2010767000
,,0.2015320000
,,0.2020571000
,,0.2009863000
,,0.2018731000
,,0.2015630000
,,0.2015154000
,,0.2037247000
,,0.2026609000
,,0.2015118000
,,0.2017011000
,,0.2127968000
,,0.2033938000
,,0.2016280000
,,0.2014428000
,,0.2008743000
,,0.2022810000
,,0.2038444000
,,0.2009854000
,,0.2011717000
,,0.2017157000
,,0.2018016000
,,0.2026092000
,,0.2019457000
,,0.2019375000
,,0.2014860000
,,,Shuffle
,,,0.2020512000
,,,0.2036610000
,,,0.2017727000
,,,0.2008336000
,,,0.2010650000
,,,0.2036893000
,,,0.2020369000
,,,0.2004507000
,,,0.2017978000
,,,0.2010343000
,,,0.2025569000
,,,0.2057718000
,,,0.2022120000
,,,0.2022541000
,,,0.2007731000
,,,0.2030016000
,,,0.2013280000
,,,0.2008769000
,,,0.2021475000
