Ordered
0.0000766000
0.0000413000
0.0000413000
0.0000413000
0.0000409000
0.0000410000
0.0000410000
0.0000409000
0.0000412000
0.0000409000
0.0000325000
0.0000322000
0.0000325000
0.0000328000
0.0000325000
0.0000328000
0.0000328000
0.0000324000
0.0000331000
0.0000325000
0.0000322000
0.0000324000
0.0000325000
0.0000325000
0.0000325000
0.0000325000
0.0000327000
0.0000530000
0.0000325000
0.0000328000
0.0000327000
0.0000330000
0.0000327000
0.0000324000
0.0000325000
0.0000327000
0.0000327000
0.0000433000
0.0000330000
0.0000334000
0.0000331000
0.0000328000
0.0000331000
0.0000331000
0.0000328000
0.0000328000
0.0000535000
0.0000331000
0.0000365000
0.0000333000
0.0000430000
0.0000327000
0.0000337000
0.0000327000
0.0000325000
0.0000328000
0.0000325000
0.0000328000
0.0000533000
0.0000441000
0.0000327000
0.0000331000
0.0000325000
0.0000322000
0.0000325000
0.0000321000
0.0000321000
0.0000324000
0.0000325000
0.0000325000
0.0000325000
0.0000325000
0.0000325000
0.0000328000
0.0000333000
0.0000331000
0.0000327000
0.0000330000
0.0000325000
0.0000328000
0.0000371000
0.0000330000
0.0000331000
0.0000377000
0.0000327000
0.0000331000
0.0000327000
0.0000334000
0.0000325000
0.0000322000
0.0000321000
0.0000325000
0.0000321000
0.0000322000
0.0000322000
0.0000331000
0.0000331000
0.0000328000
0.0000322000
0.0000322000
