Shuffled
0.1224286000
0.1275349000
0.1216076000
0.1228171000
0.1194696000
0.1183215000
0.1179690000
0.1174017000
0.1207100000
0.1176480000
0.1189784000
0.1214113000
0.1172464000
0.1177546000
0.1163868000
0.1173891000
0.1169848000
0.1179499000
0.1180657000
0.1223033000
0.1167490000
0.1204620000
0.1178447000
0.1162378000
0.1176798000
0.1193765000
0.1195343000
0.1234304000
0.1167114000
0.1169982000
0.1164356000
0.1140992000
0.1198080000
0.1159161000
0.1167859000
0.1226714000
0.1204603000
0.1158628000
0.1151664000
0.1164790000
0.1151264000
0.1180898000
0.1192245000
0.1186603000
0.1214757000
0.1171773000
0.1194104000
0.1187046000
0.1177822000
0.1185167000
0.1202011000
0.1195784000
0.1178026000
0.1182815000
0.1175624000
0.1178683000
0.1177197000
0.1180773000
0.1190863000
0.1172615000
0.1177431000
0.1193988000
0.1176361000
0.1180681000
0.1169932000
0.1166484000
0.1199050000
0.1202891000
0.1195860000
0.1178040000
0.1175152000
0.1168229000
0.1176610000
0.1168920000
0.1166957000
0.1173809000
0.1206333000
0.1202215000
0.1184412000
0.1173186000
0.1168777000
0.1173687000
0.1177888000
0.1174953000
0.1176000000
0.1168663000
0.1179520000
0.1181907000
0.1185887000
0.1183317000
0.1248748000
0.1167366000
0.1182798000
0.1186957000
0.1230384000
0.1198596000
0.1179175000
0.1178210000
0.1197422000
0.1185193000
